Company,Country,Sector,Industry,ISIN,Year,Published,CSRD Compliant,Report Year,Pages,Report Link
"Attendo AB","Sweden","Health Care","Health Care Delivery","SE0007666110","2025","2026-03-31","full","Second Year CSRD","36","https://www.attendo.com/siteassets/com/dokument/annual-reports/2025/attendo_ar25_eng.pdf"
"RHOEN-KLINIKUM AG","Germany","Health Care","Health Care Delivery","DE0007042301","2025","2026-03-30","full","Second Year CSRD","99","https://en.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/EN_RHK_GB_2025_PW.pdf"
"Medicover AB","Sweden","Health Care","Health Care Delivery","SE0009778848","2025","2026-03-30","full","Second Year CSRD","55","https://vp260.alertir.com/afw/files/press/medicover/20260330-befab69f-fc7a-4fc1-8960-7ee66fca53b2-1.pdf"
"Mediclin AG","Germany","Health Care","Health Care Delivery","DE0006595101","2025","2026-03-27","full","Second Year CSRD","98","https://www.mediclin.de/fileadmin/02_Dokumente_Share_verzeichnis/01_Klinikuebergreifende_Dokumente/Investor_Relations/Finanzpublikationen/2026_Finanzpublikationen/MEDICLIN_Annual_Report_2025.pdf"
"Galapagos","Belgium","Health Care","Biotechnology & Pharmaceuticals","BE0003818359","2025","2026-03-26","full","Second Year CSRD","47","https://reports.glpg.com/annual-report-2025/en/_assets/downloads/entire-glpg-ar25.pdf"
"Eckert & Ziegler Strahlen- und Medizintechnik AG","Germany","Health Care","Medical Equipment & Supplies","DE0005659700","2025","2026-03-26","full","Second Year CSRD","42","https://www.ezag.com/wp-content/uploads/2026/03/2025_EZAG_e_Nachhaltigkeit.pdf"
"Amplifon","Italy","Health Care","Health Care Distributors","IT0004056880","2025","2026-03-25","full","Second Year CSRD","136","https://corporate.amplifon.com/content/dam/amplifon/archive/en/investors/financial-reports/2026/Annual-Report-eng-25-03-2026.pdf"
"Fresenius","Germany","Health Care","Health Care Delivery","DE0005785604","2025","2026-03-25","full","Second Year CSRD","172","https://report.fresenius.com/2025/annual-report/_assets/downloads/entire-fresenius-ar25.pdf?h=EiBUhTx5"
"Argenx","Netherlands","Health Care","Biotechnology & Pharmaceuticals","NL0010832176","2025","2026-03-24","full","Second Year CSRD","55","https://reports.argenx.com/2025/_assets/downloads/entire-argenx-ar25.pdf"
"Dreagewerk","Germany","Health Care","Medical Equipment & Supplies","DE0005550636","2025","2026-03-24","full","Second Year CSRD","109","https://www.draeger.com/Content/Documents/Content/annual-report-2025-EmA4R7Xhj6.pdf"
"DocMorris (ex. Zur Rose Group)","Switzerland","Health Care","Drug Retailers","CH0042615283","2025","2026-03-19","full","Second Year CSRD","80","https://ir-corporate.docmorris.com/media/document/0fd3a7ff-1583-4553-a36a-a67d8e12a291/assets/Annual_Report_2025_Web-PDF.pdf?disposition=inline"
"bioMerieux","France","Health Care","Medical Equipment & Supplies","FR0013280286","2025","2026-03-17","full","Second Year CSRD","118","https://www.biomerieux.com/content/dam/biomerieux-com/investor/02---news---reports/2026/en/urd/BIOMERIEUX-DEU-2025-GB-MEL.pdf"
"Orion","Finland","Health Care","Medical Equipment & Supplies","FI0009014377","2025","2026-03-13","full","Second Year CSRD","93","https://www.orionpharma.com/492ebb/globalassets/investors/hallinnointi/yhtiokokous/yhtiokokous-2026/orion-financial-statement-documents-2025.pdf"
"Fresenius Medical","Germany","Health Care","Health Care Delivery","DE0005785802","2025","2026-03-12","full","Second Year CSRD","98","https://freseniusmedicalcare.com/content/dam/fresenius-medical-care/global/en/04_media/pdf/publications/2025/FME_Annual_Report_2025_EN.pdf"
"Bavarian Nordic","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0015998017","2025","2026-03-12","full","Second Year CSRD","80","https://www.bavarian-nordic.com/media/380028/bn_annual_report_2025.pdf"
"Pihlajalinna Oyj","Finland","Health Care","Health Care Delivery","FI4000092556","2025","2026-03-10","full","Second Year CSRD","67","https://storage.googleapis.com/inderes-widgets-prod-assets/pihlajalinna/attachments/4cdd4ac1-7a6f-47ae-8edf-3dca1641369f/annual-report-2025-pihlajalinna.pdf"
"GSK","United Kingdom","Health Care","Biotechnology & Pharmaceuticals","GB00BN7SWP63","2025","2026-03-09","partial","First Year CSRD","15","https://www.gsk.com/media/okghs41i/responsible-business-2025.pdf"
"Fagron","Belgium","Health Care","Biotechnology & Pharmaceuticals","BE0003874915","2025","2026-03-06","full","Second Year CSRD","82","https://d84823jj91l2.cloudfront.net/fagron/uploads/sites/8/2026/03/05212323/Annual-report-2025-FINAL.pdf"
"EssilorLuxottica","France","Health Care","Medical Equipment & Supplies","FR0000121667","2025","2026-03-06","full","Second Year CSRD","156","https://www.essilorluxottica.com/en/cap/content/284322/"
"Merck","Germany","Health Care","Biotechnology & Pharmaceuticals","DE0006599905","2025","2026-03-05","full","Second Year CSRD","192","https://www.merckgroup.com/investors/reports-and-financials/earnings-materials/2025-q4/en/2025-Q4-Report-EN.pdf"
"Redcare Pharmacy","Netherlands","Health Care","Drug Retailers","NL0012044747","2025","2026-03-04","full","Second Year CSRD","76","https://ir.redcare-pharmacy.com/media/document/cecace83-6bb7-4a03-a17e-1e9a901e69c1/assets/2025_AnnualReport_RedcarePharmacy.pdf"
"Oriola-KD","Finland","Health Care","Biotechnology & Pharmaceuticals","FI0009014351","2025","2026-03-04","full","Second Year CSRD","61","https://www.oriola.com/49311a/globalassets/investors/annual-reports/2025/oriola-annual-report-2025.pdf"
"Bayer","Germany","Health Care","Biotechnology & Pharmaceuticals","DE000BAY0017","2025","2026-03-04","full","Second Year CSRD","147","https://www.bayer.com/sites/default/files/2026-03/bayer-annual-report-2025.pdf"
"Clariane","France","Health Care","Health Care Delivery","FR0010386334","2025","2026-03-02","full","Second Year CSRD","184","https://www.clariane.com/sites/default/files/2026-03/CLARIANE_DEU_2025_EN.pdf"
"UCB","Belgium","Health Care","Biotechnology & Pharmaceuticals","BE0003739530","2025","2026-02-26","full","Second Year CSRD","80","https://www.ucb.com/sites/default/files/2026-02/IAR_2025_WEB.pdf"
"Laboratorios Farmaceuticos Rovi SA","Spain","Health Care","Biotechnology & Pharmaceuticals","ES0157261019","2025","2026-02-25","full","Second Year CSRD","190","https://www.rovi.es/sites/default/files/audit_report_annual_accounts_and_management_report_rovi_group_2025.pdf"
"Grifols","Spain","Health Care","Biotechnology & Pharmaceuticals","ES0171996087","2025","2026-02-25","full","Second Year CSRD","211","https://www.grifols.com/documents/3625622/8322595/Consolidated+Annual+Accounts+2025+%2B+EINF+%28Sin+firmas%29.pdf/be7cee14-3563-fe78-1bfb-b32d4a6b2ea7?t=1772121128673"
"Novonesis","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0060336014","2025","2026-02-25","full","Second Year CSRD","65","https://media.novonesis.com/Novonesis_Annual_Report_2025.pdf?_gl=1*1wxe0cv*_gcl_au*MTEwNjc3OTUxNy4xNzcyMTE1MDQ1*FPAU*MTEwNjc3OTUxNy4xNzcyMTE1MDQ1"
"Almirall SA","Spain","Health Care","Biotechnology & Pharmaceuticals","ES0157097017","2025","2026-02-23","full","Second Year CSRD","171","https://www.almirall.com/documents/4257831/6330674/EN%20-%20EINF%202025%20Almirall.pdf/c298e222-c89b-2beb-0d09-ebc4359986db"
"Sartorius Stedim Biotech","France","Health Care","Medical Equipment & Supplies","FR0013154002","2025","2026-02-23","full","Second Year CSRD","121","https://www.sartorius.com/download/1796564/fy-2025-download-urd-ssb-en-data.pdf"
"ALK","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0061802139","2025","2026-02-20","none","Second Year CSRD","48","https://ir.alk-abello.com/static-files/6b817207-e7d3-42a8-b0cf-60fb28792691"
"Genmab","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0010272202","2025","2026-02-17","full","Second Year CSRD","43","https://ir.genmab.com/static-files/7b4cfa98-94f5-49f5-b08a-8631759dd23e"
"Sanofi","France","Health Care","Biotechnology & Pharmaceuticals","FR0000120578","2025","2026-02-17","full","Second Year CSRD","138","https://www.sanofi.com/assets/dotcom/content-app/publications/esg-reports/sanofi-sustainability-statement-2025.pdf"
"Sartorius","Germany","Health Care","Medical Equipment & Supplies","DE0007165631","2025","2026-02-16","full","Second Year CSRD","120","https://www.sartorius.com/download/1796536/fy-2025-download-annual-report-sag-en-data.pdf"
"GN Store Nord","Denmark","Health Care","Medical Equipment & Supplies","DK0010272632","2025","2026-02-05","full","Second Year CSRD","60","https://www.gn.com/-/media/Files/Financial-Download-Center/2026/Q1/GN-Annual-Report-2025.pdf"
"Lundbeck","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0061804697","2025","2026-02-04","full","Second Year CSRD","78","https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/annual-reporting/2025/Lundbeck_Annual_Report_2025.pdf"
"Novo Nordisk","Denmark","Health Care","Biotechnology & Pharmaceuticals","DK0062498333","2025","2026-02-04","full","Second Year CSRD","38","https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2026/novo-nordisk-annual-report-2025.pdf"
"Demant","Denmark","Health Care","Medical Equipment & Supplies","DK0060738599","2025","2026-02-03","full","Second Year CSRD","63","https://assets-we.cas.dgs.com/-/media/demant/shared/new-library-2022/financial-reports/annual-report-english/demant-annual-report-2025.pdf?la=en&rev=AE32&hash=F68551D4B2CB09858AD389A748D55FF6"
"Carl Zeiss Meditec AG","Germany","Health Care","Medical Equipment & Supplies","DE0005313704","2025","2025-12-11","partial","First Year CSRD","94","https://dam.zeiss.com/3d152868-888d-40f5-a90f-b3ee00b1e009/Original%20file.pdf"
"SCHOTT Pharma AG & Co KGaa","Germany","Health Care","Medical Equipment & Supplies","DE000A3ENQ51","2025","2025-12-11","partial","First Year CSRD","78","https://www.schott-pharma.com/investor-relations/media/document/9e2817bc-7a38-4373-9ff8-3ac953566aad/assets/DE000A3ENQ51-JA-2024-EQ-E-01.pdf"
"Siemens Healthineers","Germany","Health Care","Medical Equipment & Supplies","DE000SHL1006","2025","2025-11-26","full","First Year CSRD","89","https://corporate.webassets.siemens-healthineers.com/a364b935102e7df5/d7fdacda458e/siemens-healthineers-ir-annual-report-2025.pdf"
"Ambu A/S","Denmark","Health Care","Medical Equipment & Supplies","DK0060946788","2025","2025-11-05","full","First Year CSRD","78","https://www.ambu.com/Admin/Public/DWSDownload.aspx?File=Files%2fFiles%2fAmbu%2fFinancial+Reports%2f2024-2025%2fAmbu-Annual-Report-2024-25.pdf"
